Company Number,Comp Use Susp Fee,Charge Susp Fee Flag,Susp Fee Charge Amt,Description1,Description2
  916,Y,Y,16.52,WEST,AWS of Alameda County
  917,Y,Y,35.00,WEST,AWS of Fresno
  922,Y,Y,35.00,WEST,AWS of Sacramento
  923,N,N,10.00,MIDWEST,BFI of Inver Grove Heights
  924,Y,Y,35.00,HEARTLAND,BFI Evansville
  925,Y,Y,35.00,WEST,AWS of San Mateo County
  928,Y,Y,35.00,HEARTLAND,Quincy Hauling
  930,Y,Y,35.00,MIDWEST,AWS of Wisconsin
  939,Y,Y,35.00,MID-ATLANTIC,AWS of Raleigh
  954,Y,Y,35.00,NORTHEAST,AWS of Auburn
  955,Y,Y,35.00,NORTHEAST,AWS of Pittsfield
  956,Y,Y,35.00,NORTHEAST,AWS of Springfield
  957,Y,Y,35.00,MID-ATLANTIC,BFI Waste Service Williamsburg
  959,Y,Y,35.00,SOUTHEAST,AWS of Pensacola
  960,Y,Y,35.00,SOUTHEAST,AWS of Magnolia Springs
  964,Y,Y,35.00,NORTHEAST,AWS of Albany
  965,Y,Y,35.00,MID-ATLANTIC,BFI Waste Services Of Richmond
  971,Y,Y,35.00,MID-ATLANTIC,"Huntington, WV"
  972,Y,Y,50.00,GREAT LAKES,BFI Waste Services of Fairmont
  973,Y,Y,35.00,MID-ATLANTIC,BFI of Roanoke Valley
  974,Y,Y,35.00,MID-ATLANTIC,BFI Waste Services Lynchburg
  975,Y,Y,35.00,SOUTHEAST,BFI Waste Services Shreveport
  975,Y,Y,35.00,SOUTHEAST,BFI Waste Services Shreveport
  976,Y,Y,35.00,MID-ATLANTIC,AWS of Winchester
  979,Y,Y,35.00,SOUTHEAST,AWS of Huntsville
  986,Y,Y,35.00,SOUTHEAST,AWS of Mobile
  991,Y,Y,35.00,SOUTHEAST,AWS of Hattiesburg
  993,Y,Y,35.00,HEARTLAND,AWS of Lexington
  997,Y,Y,35.00,SOUTHEAST,AWS of Chattanooga
  999,Y,Y,35.00,SOUTHEAST,AWS of Rome
