Name,LawsonDiv,DivisionNo,PolygonID,Rate ID,Area,City,State,Link,In Compass,Form Completed,Notes,Checked In,,,
DIV_691_MUNI_Crockett_Co_Water_District_1_Ozona_TX.html,3439,691,1363498,3439-691-1363498,A06-South,Ozona,TX,DIV_691_MUNI_Crockett_Co_Water_District_1_Ozona_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
DIV_691_MUNI_Eden_TX.html,3439,691,1001017,3439-691-1001017,A06-South,Eden,TX,DIV_691_MUNI_Eden_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
DIV_691_MUNI_Junction_TX.html,3439,691,1001053,3439-691-1001053,A06-South,Junction,TX,DIV_691_MUNI_Junction_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
DIV_691_MUNI_Melvin_TX.html,3439,691,1577845,3439-691-1577845,A06-South,Melvin,TX,DIV_691_MUNI_Melvin_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
DIV_691_MUNI_Menard_TX.html,3439,691,1001151,3439-691-1001151,A06-South,Menard,TX,DIV_691_MUNI_Menard_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
DIV_691_MUNI_Miles_TX.html,3439,691,1001040,3439-691-1001040,A06-South,Miles,TX,DIV_691_MUNI_Miles_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
DIV_691_MUNI_Robert_Lee_TX.html,3439,691,1001127,3439-691-1001127,A06-South,Robert Lee,TX,DIV_691_MUNI_Robert_Lee_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
DIV_691_MUNI_Sonora_TX.html,3439,691,1001159,3439-691-1001159,A06-South,Sonora,TX,DIV_691_MUNI_Sonora_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
DIV_691_OM_Zone_I.html,3439,691,,3439-691-,A06-South,"Vancourt, Veribest, Wall, San Angelo",TX,DIV_691_OM_Zone_I.html,Yes,6/21/2017,No polygon,Yes,,,
DIV_691_OM_Zone_II.html,3439,691,,3439-691-,A06-South,"Sterling City, Ozona, Junction, Coleman, Menard, Robert Lee, Rowena, Ballinger, Lowake, Miles, Millersview, Harriett, Christoval, Sonora, Sherwood, Knickerbocker, Barnhart, Water Valley, Bronte, Talpa, Wall, Mertzon, Melvin",TX,DIV_691_OM_Zone_II.html,Yes,6/21/2017,No polygon,Yes,,,
DIV_691_OM_Zone_III.html,3439,691,,3439-691-,A06-South,"Grape Creek, Carlsbad",TX,DIV_691_OM_Zone_III.html,Yes,6/21/2017,No polygon,Yes,,,
DIV_782_FRAN_Sumter_County_SC.html,4782,782,1001738,4782-782-1001738,A08-Mid_Atlantic,"Brogdon, Cherryvale, Dalzell, East Sumter, Hagood, Horatio, Mayesville, Millwood, Mulberry, Oakland, Oswego, South Sumter, Stateburg, Sumter, Wedgefield, Rembert",SC,DIV_782_FRAN_Sumter_County_SC.html,Yes,6/22/2017,,Yes,,,
DIV_803_HOA_Accotink_Bluff_Springfield_VA.html,3803,803,1007816,3803-803-1007816,A08-Mid_Atlantic,Springfield,VA,DIV_803_HOA_Accotink_Bluff_Springfield_VA.html,Yes,6/27/2017,Missing SRD codes for REC,Yes,,,
DIV_803_HOA_Addison_Way_Annandale_VA.html,3803,803,1007640,3803-803-1007640,A08-Mid_Atlantic,Annandale,VA,DIV_803_HOA_Addison_Way_Annandale_VA.html,Yes,6/27/2017,Missing SRD codes for REC,Yes,,,
DIV_803_HOA_Aerie_Lane_McLean_VA.html,3803,803,1007641,3803-803-1007641,A08-Mid_Atlantic,"McLean, Mc Lean",VA,DIV_803_HOA_Aerie_Lane_McLean_VA.html,Yes,6/27/2017,Missing SRD codes for REC,Yes,,,
DIV_803_HOA_Afton_Glen_Springfield_VA.html,3803,803,1007642,3803-803-1007642,A08-Mid_Atlantic,Springfield,VA,DIV_803_HOA_Afton_Glen_Springfield_VA.html,Yes,6/27/2017,Missing SRD codes for REC,Yes,,,
DIV_803_HOA_Alexanders_Chase_Ashburn_VA.html,3803,803,1010058,3803-803-1010058,A08-Mid_Atlantic,Ashburn,VA,DIV_803_HOA_Alexanders_Chase_Ashburn_VA.html,Yes,6/27/2017,Missing SRD codes for REC,Yes,,,
DIV_803_HOA_Amberleigh_Ashburn_VA.html,3803,803,1007757,3803-803-1007757,A08-Mid_Atlantic,Ashburn,VA,DIV_803_HOA_Amberleigh_Ashburn_VA.html,Yes,6/27/2017,Missing SRD codes for REC,Yes,,,
DIV_803_HOA_Amberleigh_Station_Bristow_VA.html,3803,803,1007645,3803-803-1007645,A08-Mid_Atlantic,Bristow,VA,DIV_803_HOA_Amberleigh_Station_Bristow_VA.html,Yes,6/27/2017,Missing SRD codes for REC,Yes,,,
DIV_803_HOA_Arbor_Wood_Cluster_Association_Reston_VA.html,3803,803,1007647,3803-803-1007647,A08-Mid_Atlantic,Reston,VA,DIV_803_HOA_Arbor_Wood_Cluster_Association_Reston_VA.html,Yes,6/27/2017,Missing SRD codes for REC,Yes,,,
DIV_803_HOA_Armistead_Park_Fairfax_VA.html,3803,803,1007648,3803-803-1007648,A08-Mid_Atlantic,Fairfax,VA,DIV_803_HOA_Armistead_Park_Fairfax_VA.html,Yes,6/27/2017,Missing SRD codes for REC,Yes,,,
DIV_803_HOA_Arrowwood_Manassas_VA.html,3803,803,1007649,3803-803-1007649,A08-Mid_Atlantic,Manassas,VA,DIV_803_HOA_Arrowwood_Manassas_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Ashburn_Mews_Ashburn_VA.html,3803,803,1007650,3803-803-1007650,A08-Mid_Atlantic,Ashburn,VA,DIV_803_HOA_Ashburn_Mews_Ashburn_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Ashburn_Run_Ashburn_VA.html,3803,803,1007651,3803-803-1007651,A08-Mid_Atlantic,Ashburn,VA,DIV_803_HOA_Ashburn_Run_Ashburn_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Ashburn_Village_Ashburn_VA.html,3803,803,1010072,3803-803-1010072,A08-Mid_Atlantic,Ashburn,VA,DIV_803_HOA_Ashburn_Village_Ashburn_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Ashburton_Oaks_I_Herndon_VA.html,3803,803,1007652,3803-803-1007652,A08-Mid_Atlantic,Herndon,VA,DIV_803_HOA_Ashburton_Oaks_I_Herndon_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Ashgrove_Estates_Vienna_VA.html,3803,803,1007653,3803-803-1007653,A08-Mid_Atlantic,Vienna,VA,DIV_803_HOA_Ashgrove_Estates_Vienna_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Ashgrove_Plantation_Comm_Vienna_VA.html,3803,803,1007654,3803-803-1007654,A08-Mid_Atlantic,Vienna,VA,DIV_803_HOA_Ashgrove_Plantation_Comm_Vienna_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Ashley_Court_Cluster_Reston_VA.html,3803,803,1007655,3803-803-1007655,A08-Mid_Atlantic,Reston,VA,DIV_803_HOA_Ashley_Court_Cluster_Reston_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Ashton_Wells_Community_Fairfax_VA.html,3803,803,1007656,3803-803-1007656,A08-Mid_Atlantic,Fairfax,VA,DIV_803_HOA_Ashton_Wells_Community_Fairfax_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Aspen_Glen_Alexandria_VA.html,3803,803,1007657,3803-803-1007657,A08-Mid_Atlantic,Alexandria,VA,DIV_803_HOA_Aspen_Glen_Alexandria_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Avondale_Glen_Oakton_VA.html,3803,803,1007658,3803-803-1007658,A08-Mid_Atlantic,Oakton,VA,DIV_803_HOA_Avondale_Glen_Oakton_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Baldwin_Grove_Reston_VA.html,3803,803,1007660,3803-803-1007660,A08-Mid_Atlantic,Reston,VA,DIV_803_HOA_Baldwin_Grove_Reston_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Ballantrae_Farms_Mclean_VA.html,3803,803,1007661,3803-803-1007661,A08-Mid_Atlantic,"McLean, Mc Lean",VA,DIV_803_HOA_Ballantrae_Farms_Mclean_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Balmoral_Green_Clifton_VA.html,3803,803,1007662,3803-803-1007662,A08-Mid_Atlantic,Clifton,VA,DIV_803_HOA_Balmoral_Green_Clifton_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Baltzer_Glenn_South_Riding_VA.html,3803,803,1007663,3803-803-1007663,A08-Mid_Atlantic,"South Riding, chantilly",VA,DIV_803_HOA_Baltzer_Glenn_South_Riding_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Bannerwood_Manassas_VA.html,3803,803,1007664,3803-803-1007664,A08-Mid_Atlantic,Manassas,VA,DIV_803_HOA_Bannerwood_Manassas_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Barclay_Court_Alexandria_VA.html,3803,803,1007665,3803-803-1007665,A08-Mid_Atlantic,Alexandria,VA,DIV_803_HOA_Barclay_Court_Alexandria_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Barcroft_Square_Alexandria_VA.html,3803,803,1007666,3803-803-1007666,A08-Mid_Atlantic,Alexandria,VA,DIV_803_HOA_Barcroft_Square_Alexandria_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Barden_Oaks_Oakton_VA.html,3803,803,1578711,3803-803-1578711,A08-Mid_Atlantic,Oakton,VA,DIV_803_HOA_Barden_Oaks_Oakton_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Barrhill_Bristow_VA.html,3803,803,1007668,3803-803-1007668,A08-Mid_Atlantic,Bristow,VA,DIV_803_HOA_Barrhill_Bristow_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Barton_Hill_Cluster_Reston_VA.html,3803,803,1007669,3803-803-1007669,A08-Mid_Atlantic,Reston,VA,DIV_803_HOA_Barton_Hill_Cluster_Reston_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Battery_Heights_Alexandria_VA.html,3803,803,1007670,3803-803-1007670,A08-Mid_Atlantic,Alexandria,VA,DIV_803_HOA_Battery_Heights_Alexandria_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Beacon_Hill_Cluster_Reston_VA.html,3803,803,1007671,3803-803-1007671,A08-Mid_Atlantic,Reston,VA,DIV_803_HOA_Beacon_Hill_Cluster_Reston_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Beaumont_Fairfax_Station_VA.html,3803,803,1007672,3803-803-1007672,A08-Mid_Atlantic,Fairfax Station,VA,DIV_803_HOA_Beaumont_Fairfax_Station_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Beauregard_Heights_Alexandria_VA.html,3803,803,1007673,3803-803-1007673,A08-Mid_Atlantic,Alexandria,VA,DIV_803_HOA_Beauregard_Heights_Alexandria_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Belcastle_Court_Reston_VA.html,3803,803,1007674,3803-803-1007674,A08-Mid_Atlantic,Reston,VA,DIV_803_HOA_Belcastle_Court_Reston_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Belgreen_Manor_Ashburn_VA.html,3803,803,1007675,3803-803-1007675,A08-Mid_Atlantic,Ashburn,VA,DIV_803_HOA_Belgreen_Manor_Ashburn_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Belle_Terra_Ashburn_VA.html,3803,803,1010055,3803-803-1010055,A08-Mid_Atlantic,Ashburn,VA,DIV_803_HOA_Belle_Terra_Ashburn_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Belmead_at_South_Run_Crossing_Springfield_VA.html,3803,803,1007677,3803-803-1007677,A08-Mid_Atlantic,Springfield,VA,DIV_803_HOA_Belmead_at_South_Run_Crossing_Springfield_VA.html,Yes,,,Yes,,,
DIV_803_HOA_Belmont_Greene_Ashburn_VA.html,3803,803,1008290,3803-803-1008290,A08-Mid_Atlantic,Ashburn,VA,DIV_803_HOA_Belmont_Greene_Ashburn_VA.html,Yes,,,Yes,,,
